YEAR,LatentType,regime,p_turnout,p_dpp
2016,T13,Blue,0.00831792975970425,0.4444444444444444
2016,T13,Green,0.017013232514177693,0.4444444444444444
2016,T13,None,0.006622516556291391,0
2016,T16,Blue,0.9974619289340102,0.27056827820186596
2016,T16,Green,0.9700889248181084,0.22583333333333333
2016,T16,None,0.9771528998242531,0.2841726618705036
2016,T20,Blue,0.9804605722260991,0.8099644128113879
2016,T20,Green,0.993805918788713,0.9016620498614959
2016,T20,None,0.9912985274431058,0.8784604996623903
2016,T7,Blue,0.9950166112956811,0.05843071786310518
2016,T7,Green,0.9618196588139724,0.03969594594594594
2016,T7,None,0.9917763157894737,0.05887230514096186
2016,T8,Blue,0.911504424778761,0.9469753547423451
2016,T8,Green,0.9942487419122933,0.9428778018799711
2016,T8,None,0.9945392491467577,0.9718599862731641
2020,T1,Blue,0.9805886036318097,0.8997445721583652
2020,T1,Green,0.9962264150943396,0.9419191919191919
2020,T1,None,0.990780577750461,0.923697270471464
2020,T2,Blue,0.995766698024459,0.0543221539914974
2020,T2,Green,0.8589269195189639,0.04738826063543349
2020,T2,None,0.9913336543090997,0.11850412821758136
2020,T3,Blue,0.007960199004975124,0.25
2020,T3,Green,0.07788461538461539,0.09876543209876543
2020,T3,None,0.009671179883945842,0.2
2020,T4,Blue,0.9867737364194615,0.7807563427477262
2020,T4,Green,0.9849001461276181,0.9129574678536103
2020,T4,None,0.9971523493118177,0.8833888624464541
2024,T16,Blue,0.9993819530284301,0.0074211502782931356
2024,T16,Green,0.9539227895392279,0.060704960835509136
2024,T16,None,0.9902676399026764,0.006142506142506142
2024,T1,Blue,0.9882537196554424,0.2670364500792393
2024,T1,Green,0.9778129952456418,0.440032414910859
2024,T1,None,0.9807098765432098,0.33752950432730133
2024,T15,Blue,0.9591968911917098,0.8953409858203917
2024,T15,Green,0.9840954274353877,0.9441077441077441
2024,T15,None,0.98,0.912033779028853
2024,T6,Blue,0.01932367149758454,0.5833333333333334
2024,T6,Green,0.040995607613469986,0.10714285714285714
2024,T6,None,0.013432835820895522,0.2222222222222222
