YEAR,LatentType,n,pct_turnout,pct_taiwanese,pct_indep,pct_green_tv,pct_blue_tv,pct_college,pct_under40
2016,T13,190,0,58.4,28.4,20,39.5,37.4,59.5
2016,T16,269,100,40.9,8.2,11.5,49.8,42.4,38.7
2016,T20,290,100,94.1,67.6,34.8,24.5,80.3,79
2016,T7,196,100,14.8,0,7.1,69.4,17.9,0.5
2016,T8,329,100,89.4,42.9,73.9,9.7,2.1,1.8
2020,T1,349,100,88.8,48.4,65.6,11.7,3.4,1.7
2020,T2,389,100,19,5.4,2.1,66.8,30.8,10.8
2020,T3,164,0,61,28.7,17.7,35.4,33.5,29.3
2020,T4,467,100,86.7,66.2,28.1,25.3,72.4,61
2024,T16,316,100,18.4,4.1,4.4,64.6,30.1,1.9
2024,T1,300,100,79,45.3,15.3,35.7,86.7,66.7
2024,T15,277,100,88.8,54.9,58.8,7.9,20.2,1.8
2024,T6,119,0,59.7,32.8,22.7,35.3,43.7,38.7
